Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
236,Willie Cauley-Stein,SAC,"$3,551,160 ","$3,704,160 ","$4,696,875 ",,,,1st round pick,"$7,255,320 "
237,Will Barton,DEN,"$3,533,333 ","$3,533,333 ",,,,,Bird Rights,"$7,066,666 "
238,Buddy Hield,NOP,"$3,517,200 ","$3,675,480 ","$3,833,760 ","$4,861,208 ",,,1st Round pick,"$7,192,680 "
239,Paul Pierce,LAC,"$3,500,000 ","$3,700,000 ",,,,,Mini MLE,"$7,200,000 "
240,Brandon Rush,MIN,"$3,500,000 ",,,,,,Cap Space,"$3,500,000 "
241,Mike Miller,DEN,"$3,500,000 ","$3,500,000 ",,,,,Cap Space,"$3,500,000 "
242,Anthony Morrow,OKC,"$3,488,000 ",,,,,,Cap Space,"$3,488,000 "
243,Trey Burke,WAS,"$3,386,598 ",,,,,,1st Round Pick,"$3,386,598 "
244,Mike Scott,ATL,"$3,333,334 ",,,,,,,
245,K.J. McDaniels,HOU,"$3,333,333 ","$3,333,334 ",,,,,Mid-level exception,"$6,666,667 "
246,Troy Daniels,MEM,"$3,332,940 ","$3,408,520 ","$3,258,540 ",,,,Cap Space,"$10,000,000 "
247,Julius Randle,LAL,"$3,267,120 ","$4,149,242 ",,,,,1st Round Pick,"$7,416,362 "
248,Emmanuel Mudiay,DEN,"$3,241,800 ","$3,381,480 ","$4,294,480 ",,,,1st round pick,"$6,623,280 "
249,C.J. McCollum,POR,"$3,219,579 ","$23,962,573 ","$25,759,766 ","$27,556,959 ","$29,354,152 ",,1st Round Pick,"$109,853,029 "
250,Jamal Murray,DEN,"$3,210,840 ","$3,355,320 ","$3,499,800 ","$4,444,746 ",,,1st Round pick,"$6,566,160 "
251,Michael Carter-Williams,CHI,"$3,183,526 ",,,,,,1st Round Pick,"$3,183,526 "
252,Steven Adams,OKC,"$3,140,517 ","$22,471,910 ","$24,157,303 ","$25,842,697 ","$27,528,090 ",,1st Round Pick,"$103,140,517 "
253,Kelly Olynyk,BOS,"$3,094,014 ",,,,,,1st Round Pick,"$3,094,014 "
254,Shabazz Muhammad,MIN,"$3,046,299 ",,,,,,1st Round Pick,"$3,046,299 "
255,Justin Hamilton,BRK,"$3,000,000 ","$3,000,000 ",,,,,Cap Space,"$6,000,000 "
256,Tibor Pleiss,PHI,"$3,000,000 ","$500,000 ",,,,,,"$3,500,000 "
257,Omri Casspi,SAC,"$3,000,000 ",,,,,,Room Exception,"$3,000,000 "
258,Giannis Antetokounmpo,MIL,"$2,995,421 ","$22,471,910 ","$24,157,303 ","$25,842,697 ","$27,528,090 ",,1st Round Pick,"$102,995,421 "
259,Nik Stauskas,PHI,"$2,993,040 ","$3,807,146 ",,,,,1st Round Pick,"$6,800,186 "
260,Dante Cunningham,NOP,"$2,978,250 ","$3,106,500 ",,,,,MLE,"$2,978,250 "
261,Stanley Johnson,DET,"$2,969,880 ","$3,097,800 ","$3,940,402 ",,,,1st round pick,"$6,067,680 "
262,Marquese Chriss,PHO,"$2,941,440 ","$3,073,800 ","$3,206,160 ","$4,078,236 ",,,1st Rd pick,"$6,015,240 "
263,Mindaugas Kuzminskas,NYK,"$2,898,000 ","$3,028,410 ",,,,,Room Exception,"$5,926,410 "
264,James Ennis,MEM,"$2,898,000 ","$3,028,410 ",,,,,Room exception,"$5,926,410 "
265,Seth Curry,DAL,"$2,898,000 ","$3,028,410 ",,,,,Room exception,"$5,926,410 "
266,Dewayne Dedmon,SAS,"$2,898,000 ","$3,028,410 ",,,,,Room exception,"$2,898,000 "
267,Dion Waiters,MIA,"$2,898,000 ","$3,028,410 ",,,,,Room exception,"$2,898,000 "
268,Nene Hilario,HOU,"$2,898,000 ",,,,,,Room exception,"$2,898,000 "
269,Zaza Pachulia,GSW,"$2,898,000 ",,,,,,Room Exception,"$2,898,000 "
270,Tomas Satoransky,WAS,"$2,870,813 ","$3,000,000 ","$3,129,187 ",,,,Cap Space,"$9,000,000 "
271,Noah Vonleh,POR,"$2,751,360 ","$3,505,233 ",,,,,1st Round Pick,"$6,256,593 "
272,Frank Kaminsky,CHO,"$2,730,000 ","$2,847,600 ","$3,627,842 ",,,,1st round pick,"$5,577,600 "
273,Dennis Schroder,ATL,"$2,708,582 ","$15,500,000 ","$15,500,000 ","$15,500,000 ","$15,500,000 ",,1st Round Pick,"$64,708,582 "
274,Jakob Poeltl,TOR,"$2,703,960 ","$2,825,640 ","$2,947,320 ","$3,754,886 ",,,1st Round pick,"$5,529,600 "
275,Aaron Brooks,IND,"$2,700,000 ",,,,,,Cap Space,"$2,700,000 "
276,Elfrid Payton,ORL,"$2,613,600 ","$3,332,340 ",,,,,1st Round Pick,"$5,945,940 "
277,Justise Winslow,MIA,"$2,593,440 ","$2,705,040 ","$3,448,926 ",,,,1st round pick,"$5,298,480 "
278,Thon Maker,MIL,"$2,568,600 ","$2,684,160 ","$2,799,720 ","$3,569,643 ",,,1st Round pick,"$5,252,760 "
279,Ronnie Price,OKC,"$2,557,545 ","$2,442,455 ",,,,,,"$5,000,000 "
280,Richard Jefferson,CLE,"$2,500,000 ","$2,500,000 ","$2,612,500 ",,,,Cap Space,"$5,000,000 "
281,Malcolm Delaney,ATL,"$2,500,000 ","$2,500,000 ",,,,,Room Exception,"$5,000,000 "
282,Randy Foye,BRK,"$2,500,000 ",,,,,,Cap Space,"$2,500,000 "
283,Doug McDermott,CHI,"$2,483,040 ","$3,294,994 ",,,,,1st Round Pick,"$5,778,034 "
284,Myles Turner,IND,"$2,463,840 ","$2,569,920 ","$3,410,284 ",,,,1st round pick,"$5,033,760 "
285,Domantas Sabonis,OKC,"$2,440,200 ","$2,550,000 ","$2,659,800 ","$3,529,555 ",,,1st Round pick,"$4,990,200 "
286,Shelvin Mack,UTA,"$2,433,334 ",,,,,,,
287,Tony Snell,MIL,"$2,368,327 ",,,,,,1st Round Pick,"$2,368,327 "
288,Gorgui Dieng,MIN,"$2,348,783 ","$14,112,360 ","$15,170,787 ","$16,229,213 ","$17,287,640 ",,1st Round Pick,"$65,148,783 "
289,Trey Lyles,UTA,"$2,340,600 ","$2,441,400 ","$3,364,249 ",,,,1st round pick,"$4,782,000 "
290,Mason Plumlee,DEN,"$2,328,530 ",,,,,,1st Round Pick,"$2,328,530 "
291,Dario Saric,PHI,"$2,318,280 ","$2,422,560 ","$2,526,840 ","$3,481,986 ",,,1st Round pick,"$4,740,840 "
292,Taurean Waller-Prince,ATL,"$2,318,280 ","$2,422,560 ","$2,526,840 ","$3,481,986 ",,,1st Round pick,"$4,740,840 "
293,Tim Hardaway,ATL,"$2,281,605 ",,,,,,1st Round Pick,"$2,281,605 "
294,Reggie Bullock,DET,"$2,255,644 ",,,,,,1st Round Pick,"$2,255,644 "
295,Joe Ingles,UTA,"$2,250,000 ",,,,,,Cap Space,"$2,250,000 "
296,Zach LaVine,MIN,"$2,240,880 ","$3,202,217 ",,,,,1st Round Pick,"$5,443,097 "
297,Devin Booker,PHO,"$2,223,600 ","$2,319,360 ","$3,314,365 ",,,,1st round pick,"$4,542,960 "
298,Luc Mbah a Moute,LAC,"$2,203,000 ","$2,302,135 ",,,,,Bi-annual Exception,"$2,203,000 "
299,Georgios Papagiannis,SAC,"$2,202,240 ","$2,301,360 ","$2,400,480 ","$3,430,288 ",,,1st Round pick,"$4,503,600 "
300,Mo Williams,DEN,"$2,200,000 ",,,,,,,"$2,200,000 "
301,Andre Roberson,OKC,"$2,183,072 ",,,,,,1st Round Pick,"$2,183,072 "
302,T.J. Warren,PHO,"$2,128,920 ","$3,152,931 ",,,,,1st Round Pick,"$5,281,851 "
303,Rudy Gobert,UTA,"$2,121,288 ","$21,224,719 ","$22,741,573 ","$24,258,427 ","$25,775,281 ",,1st Round Pick,"$96,121,288 "
304,Cameron Payne,OKC,"$2,112,480 ","$2,203,440 ","$3,263,295 ",,,,1st round pick,"$4,315,920 "
305,Archie Goodwin,PHO,"$2,094,089 ",,,,,,,"$2,094,089 "
306,Denzel Valentine,CHI,"$2,092,200 ","$2,186,400 ","$2,280,600 ","$3,377,569 ",,,1st Round pick,"$4,278,600 "
307,Tim Frazier,NOP,"$2,090,000 ","$2,000,000 ",,,,,Room exception,"$4,090,000 "
308,Adreian Payne,MIN,"$2,022,240 ",,,,,,1st Round Pick,"$2,022,240 "
309,Kelly Oubre,WAS,"$2,006,640 ","$2,093,040 ","$3,208,630 ",,,,1st round pick,"$4,099,680 "
310,Juan Hernangomez,DEN,"$1,987,440 ","$2,076,840 ","$2,166,360 ","$3,321,030 ",,,1st Round pick,"$4,064,280 "
311,Anderson Varejao,POR,"$1,984,005 ","$1,984,005 ","$1,984,005 ","$1,984,005 ","$1,984,005 ",,,"$9,920,025 "
312,Lucas Nogueira,TOR,"$1,921,320 ","$2,947,305 ",,,,,1st Round Pick,"$4,868,625 "
313,Jusuf Nurkic,POR,"$1,921,320 ","$2,947,305 ",,,,,1st Round Pick,"$4,868,625 "
314,Terry Rozier,BOS,"$1,906,440 ","$1,988,520 ","$3,050,390 ",,,,1st round pick,"$3,894,960 "
315,Tim Duncan,SAS,"$1,881,250 ","$1,881,250 ","$1,881,250 ",,,,,"$5,643,750 "
316,Larry Sanders,MIL,"$1,865,547 ","$1,865,547 ","$1,865,547 ","$1,865,547 ","$1,865,547 ",,,"$11,193,282 "
317,James Young,BOS,"$1,825,200 ",,,,,,1st Round Pick,"$1,825,200 "
318,Rashad Vaughn,MIL,"$1,811,040 ","$1,889,040 ","$2,901,565 ",,,,1st round pick,"$3,700,080 "
319,Kevin Seraphin,IND,"$1,800,000 ","$1,881,000 ",,,,,Cap Space,"$1,800,000 "
320,Wade Baldwin,MEM,"$1,793,760 ","$1,874,400 ","$1,955,160 ","$3,003,126 ",,,1st Round pick,"$3,668,160 "
321,Quincy Acy,BRK,"$1,790,902 ","$1,709,538 ",,,,,Cap space,"$1,790,902 "
322,Tyler Ennis,HOU,"$1,733,880 ",,,,,,1st Round Pick,"$1,733,880 "
323,Sam Dekker,HOU,"$1,720,560 ","$1,794,600 ","$2,760,095 ",,,,1st Round pick,"$3,515,160 "
324,Joffrey Lauvergne,OKC,"$1,709,720 ",,,,,,MLE,"$1,709,720 "
325,Henry Ellenson,DET,"$1,704,120 ","$1,780,800 ","$1,857,480 ","$2,856,804 ",,,1st Round pick,"$3,484,920 "
326,Gary Harris,DEN,"$1,655,880 ","$2,550,055 ",,,,,1st Round Pick,"$4,205,935 "
327,Jerian Grant,CHI,"$1,643,040 ","$1,713,840 ","$2,639,314 ",,,,1st Round pick,"$3,356,880 "
328,Malik Beasley,DEN,"$1,627,320 ","$1,700,640 ","$1,773,840 ","$2,731,714 ",,,1st Round pick,"$3,327,960 "
329,Bruno Caboclo,TOR,"$1,589,640 ","$2,451,225 ",,,,,1st Round Pick,"$4,040,865 "
330,Delon Wright,TOR,"$1,577,280 ","$1,645,200 ","$2,536,898 ",,,,1st Round pick,"$3,222,480 "
331,Caris LeVert,BRK,"$1,562,280 ","$1,632,480 ","$1,702,800 ","$2,625,718 ",,,1st Round pick,"$3,194,760 "
332,David Lee,SAS,"$1,551,659 ","$1,605,967 ",,,,,Minimum Salary,"$1,551,659 "
333,Lou Amundson,NYK,"$1,551,659 ",,,,,,,"$1,551,659 "
334,Steve Novak,MIL,"$1,551,659 ",,,,,,,"$1,551,659 "
335,Jason Terry,MIL,"$1,551,659 ",,,,,,Minimum Salary,"$1,551,659 "
336,Metta World Peace,LAL,"$1,551,659 ",,,,,,Minimum Salary,"$1,551,659 "
337,Brandon Bass,LAC,"$1,551,659 ",,,,,,Minimum Salary,"$1,551,659 "
338,Raymond Felton,LAC,"$1,551,659 ",,,,,,Minimum Salary,"$1,551,659 "
339,Anderson Varejao,GSW,"$1,551,659 ",,,,,,,"$1,551,659 "
340,David West,GSW,"$1,551,659 ",,,,,,Minimum Salary,"$1,551,659 "
341,Beno Udrih,DET,"$1,551,659 ",,,,,,Minimum Salary,"$1,551,659 "
342,James Jones,CLE,"$1,551,659 ",,,,,,Minimum Salary,"$1,551,659 "
343,Chris Andersen,CHO,"$1,551,659 ",,,,,,,"$1,551,659 "
344,Jarrett Jack,ATL,"$1,551,659 ",,,,,,,"$1,551,659 "
345,Mitch McGary,OKC,"$1,526,040 ",,,,,,,"$1,526,040 "
346,Justin Anderson,DAL,"$1,514,160 ","$1,579,440 ","$2,516,048 ",,,,1st Round pick,"$3,093,600 "
347,Marcelo Huertas,LAL,"$1,500,000 ","$1,567,500 ",,,,,Cap Space,"$1,500,000 "
348,DeAndre' Bembry,ATL,"$1,499,760 ","$1,567,200 ","$1,634,640 ","$2,603,982 ",,,1st Round pick,"$3,066,960 "
349,Jordan Adams,MEM,"$1,465,080 ",,,,,,,"$1,465,080 "
350,Bobby Portis,CHI,"$1,453,680 ","$1,516,320 ","$2,494,346 ",,,,1st Round pick,"$2,970,000 "
351,Demetrius Jackson,BOS,"$1,450,000 ","$1,384,750 ","$1,319,500 ","$1,319,500 ",,,Cap Space,"$2,100,000 "
352,Malachi Richardson,SAC,"$1,439,880 ","$1,504,560 ","$1,569,360 ","$2,581,597 ",,,1st Round pick,"$2,944,440 "
353,Sasha Vujacic,NYK,"$1,410,598 ",,,,,,Minimum Salary,"$1,410,598 "
354,Gerald Green,BOS,"$1,410,598 ",,,,,,Minimum Salary,"$1,410,598 "
355,Rodney Hood,UTA,"$1,406,520 ","$2,386,864 ",,,,,1st Round Pick,"$3,793,384 "
356,Michael Beasley,MIL,"$1,403,611 ",,,,,,Minimum Salary,"$1,403,611 "
357,Marreese Speights,LAC,"$1,403,611 ","$1,459,969 ",,,,,Minimum Salary,"$1,403,611 "
358,JaVale McGee,GSW,"$1,403,611 ",,,,,,Minimum Salary,"$1,403,611 "
359,Alonzo Gee,NOP,"$1,400,000 ",,,,,,,"$1,400,000 "
360,Rondae Hollis-Jefferson,BRK,"$1,395,600 ","$1,455,720 ","$2,470,357 ",,,,1st Round pick,"$2,851,320 "
361,Willy Hernangomez,NYK,"$1,375,000 ","$1,435,750 ","$1,496,500 ","$1,557,250 ",,,Cap Space,"$4,307,250 "
362,Deyonta Davis,MEM,"$1,369,229 ","$1,307,614 ","$1,245,999 ",,,,Cap Space,"$3,922,842 "
363,Kevin Martin,MIN,"$1,360,305 ","$1,360,305 ","$1,360,305 ",,,,,"$4,080,915 "
364,Nikola Jokic,DEN,"$1,358,500 ","$1,417,000 ","$1,475,500 ",,,,,"$2,775,500 "
365,Shabazz Napier,POR,"$1,350,120 ","$2,361,360 ",,,,,1st Round Pick,"$3,711,480 "
366,Tyus Jones,MIN,"$1,339,680 ","$1,397,400 ","$2,444,053 ",,,,1st Round pick,"$2,737,080 "
367,Sasha Kaun,PHI,"$1,333,420 ",,,,,,,"$1,333,420 "
368,Timothe Luwawu-Cabarrot,PHI,"$1,326,960 ","$1,386,600 ","$1,446,360 ","$2,529,684 ",,,1st Round pick,"$2,713,560 "
369,Marcus Thornton,WAS,"$1,315,448 ",,,,,,Minimum Salary,"$1,315,448 "
370,Ty Lawson,SAC,"$1,315,448 ",,,,,,Minimum Salary,"$1,315,448 "
371,Alan Anderson,LAC,"$1,315,448 ",,,,,,Minimum Salary,"$1,315,448 "
372,Clint Capela,HOU,"$1,296,240 ","$2,334,520 ",,,,,1st Round Pick,"$3,630,760 "
373,Jarell Martin,MEM,"$1,286,160 ","$1,341,600 ","$2,516,222 ",,,,1st Round pick,"$2,627,760 "
374,Brice Johnson,LAC,"$1,273,920 ","$1,331,160 ","$1,388,520 ","$2,500,725 ",,,1st Round pick,"$2,605,080 "
375,Jeremy Evans,IND,"$1,227,286 ",,,,,,,"$1,227,286 "
376,Lance Stephenson,NOP,"$1,227,286 ",,,,,,,"$100,000 "
377,Luke Babbitt,MIA,"$1,227,000 ",,,,,,Minimum Salary,"$1,227,000 "
378,Jordan Mickey,BOS,"$1,223,653 ","$1,276,346 ","$1,329,039 ",,,,,"$1,223,653 "
379,C.J. Wilcox,ORL,"$1,209,680 ","$2,183,328 ",,,,,1st Round Pick,"$1,209,680 "
380,Larry Nance Jr.,LAL,"$1,207,680 ","$1,259,640 ","$2,272,391 ",,,,1st Round pick,"$2,467,320 "
381,R.J. Hunter,BOS,"$1,200,240 ",,,,,,,"$1,200,240 "
382,Pascal Siakam,TOR,"$1,196,040 ","$1,249,920 ","$1,303,680 ","$2,351,839 ",,,1st Round pick,"$2,445,960 "
383,Kyle Anderson,SAS,"$1,192,080 ","$2,151,704 ",,,,,1st Round Pick,"$3,343,784 "
384,Josh Huestis,OKC,"$1,191,480 ","$1,242,840 ","$2,243,326 ",,,,,"$2,434,320 "
385,Chris McCullough,BRK,"$1,191,480 ","$1,242,840 ","$2,243,326 ",,,,1st Round pick,"$2,434,320 "
386,Livio Jean-Charles,SAS,"$1,188,840 ","$1,242,240 ",,,,,,"$2,431,080 "
387,Skal Labissiere,SAC,"$1,188,840 ","$1,242,240 ","$1,295,760 ","$2,338,847 ",,,1st Round pick,"$2,431,080 "
388,Kevon Looney,GSW,"$1,182,840 ","$1,233,840 ","$2,227,081 ",,,,1st Round pick,"$2,416,680 "
389,Dejounte Murray,SAS,"$1,180,080 ","$1,233,240 ","$1,286,280 ","$2,321,735 ",,,1st Round pick,"$2,413,320 "
390,Damian Jones,GSW,"$1,171,560 ","$1,224,240 ","$1,277,040 ","$2,305,057 ",,,1st Round pick,"$2,395,800 "
391,Isaiah Whitehead,BRK,"$1,074,145 ","$1,122,248 ","$1,170,584 ","$1,218,920 ",,,Cap Space,"$2,196,393 "
392,Rakeem Christmas,IND,"$1,052,342 ","$1,097,658 ","$1,142,974 ",,,,,"$1,102,342 "
393,Joe Young,IND,"$1,052,342 ","$1,097,658 ","$1,142,974 ",,,,Cap Space,"$1,052,342 "
394,Terrence Jones,NOP,"$1,050,961 ",,,,,,Minimum Salary,"$1,050,961 "
395,Thomas Robinson,LAL,"$1,050,961 ",,,,,,Minimum Salary,"$1,050,961 "
396,Pablo Prigioni,HOU,"$1,050,961 ","$1,178,992 ",,,,,,"$1,050,961 "
397,Quincy Acy,DAL,"$1,050,961 ","$1,178,992 ",,,,,,"$1,050,961 "
398,Brian Roberts,CHO,"$1,050,961 ",,,,,,Minimum Salary,"$1,050,961 "
399,Glenn Robinson,IND,"$1,050,500 ","$1,090,500 ",,,,,Minimum Salary,"$1,050,500 "
400,Ivica Zubac,LAL,"$1,034,956 ","$1,081,529 ","$1,128,102 ",,,,Cap Space,"$2,116,485 "
401,Richaun Holmes,PHI,"$1,025,831 ","$1,014,746 ","$1,088,038 ",,,,Cap Space,"$1,025,831 "
402,Isaiah Canaan,CHI,"$1,015,696 ","$1,087,745 ",,,,,Minimum Salary,"$1,215,696 "
403,Justin Holiday,NYK,"$1,015,696 ",,,,,,Minimum Salary,"$1,015,696 "
404,Willie Reed,MIA,"$1,015,696 ","$1,087,745 ",,,,,Cap Space,"$1,015,696 "
405,Ian Clark,GSW,"$1,015,696 ",,,,,,Minimum Salary,"$1,015,696 "
406,DeAndre Liggins,CLE,"$1,015,696 ","$1,087,745 ",,,,,Minimum Salary,"$1,015,696 "
407,Anthony Bennett,BRK,"$1,015,696 ","$1,087,745 ",,,,,,"$1,015,696 "
408,Mike Muscala,ATL,"$1,015,696 ",,,,,,Minimum Salary,"$1,015,696 "
409,Robert Covington,PHI,"$1,015,696 ","$1,087,745 ",,,,,,"$50,000 "
410,Jeff Withey,UTA,"$1,015,696 ",,,,,,,
411,Montrezl Harrell,HOU,"$1,000,000 ","$1,100,000 ",,,,,,"$2,100,000 "
412,Elton Brand,PHI,"$1,000,000 ",,,,,,,"$1,000,000 "
413,Walter Tavares,ATL,"$1,000,000 ",,,,,,,"$1,000,000 "
414,Damjan Rudez,ORL,"$980,431 ",,,,,,Minimum Salary,"$980,431 "
415,James Michael McAdoo,GSW,"$980,431 ",,,,,,Minimum Salary,"$980,431 "
416,Nick Johnson,DEN,"$980,431 ",,,,,,,"$980,431 "
417,Jarnell Stokes,DEN,"$980,431 ","$1,051,245 ",,,,,Minimum Salary,"$980,431 "
418,Joe Harris,BRK,"$980,431 ","$1,051,245 ",,,,,Minimum Salary,"$980,431 "
419,Sean Kilpatrick,BRK,"$980,431 ","$1,051,245 ",,,,,Minimum Salary,"$980,431 "
420,JaMychal Green,MEM,"$980,431 ",,,,,,Minimum Salary,"$200,000 "
421,Jerami Grant,OKC,"$980,431 ","$1,051,245 ",,,,,,
422,Stephen Zimmerman,ORL,"$950,000 ","$992,750 ","$1,050,262 ",,,,Cap Space,"$950,000 "
423,Jason Thompson,GSW,"$945,126 ","$945,126 ","$945,126 ",,,,,"$2,835,378 "
424,Andrew Harrison,MEM,"$945,000 ","$987,525 ","$1,050,262 ",,,,Cap Space,"$1,045,000 "
425,Raul Neto,UTA,"$937,800 ","$1,014,746 ",,,,,,"$937,800 "
426,Malcolm Brogdon,MIL,"$925,000 ","$955,249 ","$1,050,262 ",,,,Cap Space,"$1,880,249 "
427,Wayne Ellington,SAC,"$923,670 ",,,,,,,"$6,923,780 "
428,Tyler Ulis,PHO,"$918,369 ","$905,249 ","$1,050,262 ","$1,126,120 ",,,Cap Space,"$1,823,618 "
429,Norman Powell,TOR,"$874,636 ","$1,014,746 ",,,,,Cap Space,"$874,636 "
430,Jonathon Simmons,SAS,"$874,636 ",,,,,,Minimum Salary,"$874,636 "
431,Pat Connaughton,POR,"$874,636 ","$1,014,746 ",,,,,Minimum Salary,"$874,636 "
432,Alan Williams,PHO,"$874,636 ",,,,,,Minimum Salary,"$874,636 "
433,Josh Richardson,MIA,"$874,636 ","$1,014,746 ",,,,,Minimum Salary,"$874,636 "
434,Anthony Brown,LAL,"$874,636 ",,,,,,,"$874,636 "
435,Jordan McRae,CLE,"$874,636 ",,,,,,Minimum Salary,"$874,636 "
436,Christian Wood,CHO,"$874,636 ","$1,014,746 ",,,,,Cap Space,"$874,636 "
437,T.J. McConnell,PHI,"$874,636 ","$1,014,746 ","$1,088,038 ",,,,,
438,Salah Mejri,DAL,"$874,636 ","$1,014,746 ",,,,,,
439,Cristiano Felicio,CHI,"$874,636 ",,,,,,,
440,Darrun Hilliard,DET,"$874,060 ","$1,014,750 ",,,,,Cap space,"$874,060 "
441,Martell Webster,WAS,"$830,000 ","$830,000 ","$830,000 ",,,,,"$2,490,000 "
442,Michael Beasley,PHO,"$777,777 ",,,,,,,"$777,777 "
443,Paul Zipser,CHI,"$750,000 ","$905,249 ","$1,050,262 ","$1,126,120 ",,,Cap Space,"$1,655,249 "
444,Spencer Dinwiddie,BRK,"$726,672 ","$1,051,245 ","$1,125,816 ",,,,Minimum Salary,"$100,000 "
445,Bobby Brown,HOU,"$680,534 ",,,,,,Minimum Salary,"$680,534 "
446,A.J. Hammons,DAL,"$650,000 ","$905,249 ","$1,050,262 ",,,,Cap Space,"$2,605,511 "
447,Carlos Delfino,LAC,"$650,000 ","$650,000 ","$650,000 ",,,,,"$1,950,000 "
448,Michael Gbinije,DET,"$650,000 ","$905,240 ","$1,050,262 ",,,,Cap Space,"$1,150,000 "
449,Georges Niang,IND,"$650,000 ","$905,249 ","$1,050,262 ",,,,Cap Space,"$750,000 "
450,John Lucas III,MIN,"$635,753 ",,,,,,,"$635,753 "
451,Joel Bolomboy,UTA,"$600,000 ","$905,249 ","$1,050,262 ",,,,Cap Space,"$1,505,249 "
452,Jake Layman,POR,"$600,000 ","$905,249 ","$1,050,262 ",,,,Cap Space,"$1,505,249 "
453,Donatas Motiejunas,NOP,"$576,724 ",,,,,,Minimum Salary,"$576,724 "
454,Chinanu Onuaku,HOU,"$543,471 ","$905,249 ","$1,050,262 ",,,,Minimum Salary,"$2,498,982 "
455,Cheick Diallo,NOP,"$543,471 ","$905,249 ","$1,050,262 ",,,,Minimum Salary,"$1,948,720 "
456,Davis Bertans,SAS,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$1,448,720 "
457,Diamond Stone,LAC,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$1,448,720 "
458,Patrick McCaw,GSW,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$1,448,720 "
459,Kay Felder,CLE,"$543,471 ","$905,249 ","$1,050,262 ",,,,Minimum Salary,"$1,000,000 "
460,Sheldon McClellan,WAS,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$543,471 "
461,Danuel House,WAS,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$543,471 "
462,Daniel Ochefu,WAS,"$543,471 ","$905,249 ","$1,050,262 ",,,,Cap Space,"$543,471 "
463,Fred VanVleet,TOR,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$543,471 "
464,Bryn Forbes,SAS,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$543,471 "
465,Tim Quarterman,POR,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$543,471 "
466,Derrick Jones,PHO,"$543,471 ","$905,249 ","$1,050,262 ",,,,Minimum Salary,"$543,471 "
467,Semaj Christon,OKC,"$543,471 ","$905,249 ","$1,050,262 ",,,,Minimum Salary,"$543,471 "
468,Maurice Ndour,NYK,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$543,471 "
469,Ron Baker,NYK,"$543,471 ",,,,,,Minimum Salary,"$543,471 "
470,Marshall Plumlee,NYK,"$543,471 ","$905,249 ","$1,050,262 ",,,,Minimum Salary,"$543,471 "
471,Rodney McGruder,MIA,"$543,471 ","$905,249 ","$1,050,262 ",,,,Minimum Salary,"$543,471 "
472,Troy Williams,MEM,"$543,471 ","$905,249 ",,,,,,"$543,471 "
473,Gary Payton,HOU,"$543,471 ",,,,,,,"$543,471 "
474,Kyle Wiltjer,HOU,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$543,471 "
475,Jonathan Gibson,DAL,"$543,471 ",,,,,,,"$543,471 "
476,Dorian Finney-Smith,DAL,"$543,471 ","$905,249 ","$1,050,262 ",,,,Minimum Salary,"$543,471 "
477,Nicolas Brussino,DAL,"$543,471 ","$905,249 ","$1,050,262 ",,,,Minimum Salary,"$543,471 "
478,Treveon Graham,CHO,"$543,471 ","$905,249 ",,,,,Minimum Salary,"$543,471 "
479,Caron Butler,SAC,"$517,220 ","$517,220 ","$517,220 ",,,,,"$1,551,660 "
480,Jordan Farmar,LAC,"$510,921 ","$510,921 ",,,,,,"$1,021,842 "
481,Jarrett Jack,BRK,"$500,000 ",,,,,,,"$500,000 "
482,Joel Anthony,SAS,"$497,858 ",,,,,,Minimum Salary,"$497,858 "
483,John Jenkins,PHO,"$469,841 ",,,,,,,"$469,841 "
484,Aaron Gray,DET,"$452,059 ","$452,059 ",,,,,,"$904,118 "
485,Hollis Thompson,PHI,"$442,126 ",,,,,,,"$442,126 "
486,Arinze Onuaku,ORL,"$440,078 ",,,,,,,"$440,078 "
487,Maurice Ndour,DAL,"$437,318 ",,,,,,,"$437,318 "
488,R.J. Hunter,CHI,"$425,000 ",,,,,,,"$425,000 "
489,Ryan Kelly,ATL,"$418,228 ",,,,,,,"$418,228 "
490,Alonzo Gee,DEN,"$417,848 ",,,,,,,"$417,848 "
491,Aaron Harrison,CHO,"$375,579 ",,,,,,,"$375,579 "
492,Briante Weber,MIA,"$328,000 ",,,,,,,"$328,000 "
493,Andrea Bargnani,BRK,"$323,599 ",,,,,,,"$323,599 "
494,Gal Mekel,DAL,"$315,760 ","$315,760 ",,,,,,"$631,520 "
495,Miroslav Raduljica,LAC,"$300,000 ","$300,000 ","$300,000 ",,,,,"$900,000 "
496,Bobby Brown,HOU,"$253,759 ",,,,,,,"$253,759 "
497,Yi Jianlian,LAL,"$250,000 ",,,,,,,"$250,000 "
498,Elliot Williams,GSW,"$250,000 ",,,,,,,"$250,000 "
499,Ben Bentil,BOS,"$250,000 ",,,,,,,"$250,000 "
